Xa,Ya,Za,Xgr,Ygr,Zgr,Xma,Yma,Zma,Temp
Initialising
66.41,171.39,1048.83,0.57,-1.3,6.69,21.3,11.7,386.25,30.33
7.81,114.26,1085.45,11.26,-0.37,15.82,20.4,11.4,387.45,29.99
29.79,154.3,1104.98,-24.02,12.15,10.76,19.8,13.8,387.15,30.09
15.14,108.89,989.75,-7.79,-16.07,2.89,21.3,14.4,385.05,30.28
61.04,84.96,975.1,-3.81,7.06,-0.32,20.7,12.0,387.15,30.33
58.11,104.0,977.05,-5.87,17.54,7.11,23.1,12.75,386.4,30.09
43.95,204.59,967.77,8.28,-4.21,16.63,21.45,12.75,388.35,30.33
Destination:,,1
Initialising
5.06,27.0,12.15,385.05,30.09
-34.18,95.7,1051.27,1.32,0.76,-3.92,28.05,11.25,386.85,30.28
1007.81,6.02,1.31,-1.08,25.95,5.85,386.85,30.71
-130.37,-82.03,1028.81,1.44,2.24,2.32,25.95,3.9,385.65,30.71
-124.51,-91.8,1014.16,-4.62,6.47,0.28,27.45,4.95,386.25,30.52
-146.97,-100.59,1016.6,1.22,4.05,-1.27,26.85,3.9,384.15,30.33
-129.88,-54.69,1026.86,5.73,-0.04,-7.66,25.2,3.9,384.45,30.62
-100.59,-83.98,999.02,5.48,0.12,1.83,24.75,4.35,385.35,30.62
-138.67,-90.82,1011.72,0.44,-0.83,5.3,26.55,6.75,385.8,30.71
-106.93,-39.55,1024.9,2.7,-2.31,-2.21,25.2,7.8,385.35,30.62
Start
-124.51,-205.08,1049.8,13.23,1.71,-11.96,26.25,4.2,384.0,30.43
-79.59,-189.94,929.69,-15.15,24.01,-8.79,26.25,3.0,385.05,30.71
-215.33,-214.36,1033.2,13.85,30.12,0.76,28.05,4.35,384.45,30.47
-167.48,-182.62,1006.35,20.31,-0.68,-18.78,30.0,4.35,386.1,30.62
-180.18,-225.59,1042.48,0.56,-29.87,6.68,29.25,5.4,386.1,30.52
-157.23,-225.59,995.61,26.66,-19.56,16.46,26.25,7.2,386.25,30.52
-105.47,-153.32,1047.85,10.8,0.13,-14.66,26.25,7.5,386.25,30.62
-104.0,134.77,1109.38,1.36,-5.85,-28.72,24.15,7.2,386.25,30.47
-102.54,-60.55,946.29,-22.87,-7.91,-20.41,22.65,7.35,386.4,30.52
-94.24,-116.7,988.28,-10.49,-16.62,-15.76,23.1,5.1,384.9,30.43
-20.51,-55.18,972.66,-0.05,6.43,9.71,20.4,6.45,384.75,30.47
-52.73,-101.56,996.09,-2.95,8.84,-0.47,21.9,5.1,386.1,30.28
-94.24,-140.14,956.54,35.52,13.39,12.4,22.95,4.95,385.8,30.33
-93.75,-55.66,1046.39,44.0,-13.56,-5.62,23.55,8.85,386.85,30.28
-53.22,41.99,1195.8,-2.4,-11.99,10.46,22.05,10.65,387.45,30.43
-27.83,82.52,1083.5,-27.85,4.42,0.25,20.85,9.15,386.7,30.62
-91.8,-52.73,967.77,-13.78,7.94,3.05,22.35,6.6,386.85,30.43
-5.37,-55.66,943.85,5.96,-3.91,-8.02,21.0,6.3,386.85,30.52
-50.78,-81.54,980.47,18.45,5.98,-12.31,20.7,6.3,386.1,30.52
-50.78,-108.4,1007.32,13.41,3.86,-21.85,19.95,7.95,388.95,30.33
10.25,-97.66,965.33,5.18,-6.73,-14.44,20.7,8.85,386.4,30.52
-20.51,-52.73,1026.37,-7.98,7.79,-45.71,21.6,7.95,389.4,30.67
-100.59,-102.54,1105.47,-2.79,1.63,-33.98,20.85,7.95,387.75,30.33
-161.13,42.97,1067.87,-13.02,-0.51,-48.52,18.15,8.85,387.6,30.62
-137.7,-45.41,1047.85,-16.87,10.97,-38.6,18.75,7.2,388.65,30.62
-63.96,-107.42,953.12,2.92,8.66,-5.14,17.4,8.55,388.35,30.52
-109.86,-90.82,983.89,-2.47,10.91,-3.4,17.4,8.55,390.0,30.52
-143.07,-109.37,1011.72,-0.02,6.16,6.54,19.35,10.8,389.55,30.47
-129.88,-105.47,1000.98,-4.17,-3.5,6.54,19.05,10.8,390.75,30.33
-154.3,-129.88,999.51,-9.02,0.7,13.38,19.35,13.5,391.8,30.47
Destination:,-1.5,-1.6
Initialising
19.05,2.85,385.65,30.47
-43.95,-130.37,1000.0,-1.66,2.37,-0.43,21.9,4.65,385.65,30.67
136.23,1001.46,-10.58,0.5,4.68,18.0,19.35,385.8,30.67
23.93,100.59,1005.37,-10.98,0.05,-10.89,17.7,18.0,386.4,30.62
-8.79,76.66,1015.14,-0.17,0.44,-4.76,15.9,17.55,385.5,30.52
0.98,102.54,1023.44,1.15,1.32,1.56,16.8,17.85,385.8,30.33
13.67,98.14,1024.9,1.86,2.5,1.89,16.35,18.3,386.25,30.47
3.91,129.39,1006.84,-1.4,0.38,-5.74,16.95,19.95,386.85,30.52
0.0,87.4,1041.5,-1.4,0.52,-4.05,17.1,18.3,385.5,30.33
-34.67,110.35,1019.04,0.29,1.34,3.95,16.95,18.9,386.1,30.43
Start
5.37,203.61,1016.6,-4.43,-1.6,-5.31,16.35,18.6,386.7,30.62
-23.93,249.02,998.54,-6.09,14.06,-4.16,18.75,18.3,387.45,30.67
-3.91,122.56,981.45,31.96,11.15,-0.98,17.55,19.05,387.0,30.67
37.11,136.72,925.29,-7.21,-1.98,0.53,19.05,19.65,385.65,30.81
17.09,146.0,1043.95,-10.4,8.55,-1.19,19.05,18.9,386.1,30.67
-30.76,210.45,1030.27,0.23,5.79,-0.22,19.35,18.0,388.35,30.43
-72.27,260.25,973.14,3.8,6.07,14.4,18.75,19.05,384.0,30.19
-81.05,247.07,977.05,19.24,34.5,31.42,20.7,20.4,385.35,30.28
-162.6,220.7,1152.34,16.59,6.48,48.2,22.35,20.7,386.85,30.62
-132.32,113.28,1097.17,13.92,-17.3,33.43,20.25,20.7,385.35,30.62
-49.32,189.94,922.85,15.28,-10.73,29.05,20.25,21.9,385.35,30.71
30.27,188.48,897.95,-6.44,15.28,4.03,18.75,22.05,385.5,30.47
32.23,275.39,945.31,-20.26,0.0,-33.74,20.85,22.5,385.8,30.43
-12.7,240.23,977.05,-9.38,-4.18,-37.89,19.8,22.2,384.9,30.52
-66.89,277.83,1005.86,-1.89,-8.55,-44.54,20.85,22.8,385.05,30.52
-127.93,218.75,1085.45,11.21,5.06,-33.98,19.65,22.5,385.5,30.67
-141.6,285.64,1084.47,-12.11,-15.1,-34.66,21.0,25.35,384.9,30.52
-48.83,160.16,992.68,30.52,-1.21,0.4,20.7,24.6,385.35,30.62
