Xa,Ya,Za,Xgr,Ygr,Zgr,Xma,Yma,Zma,Temp
Initialising
-1.95,92.29,1035.16,10.97,-12.95,25.28,18.0,20.55,385.05,31.0
Destination:,1.5,-1.3
Initialising
1.79,-5.44,-12.66,19.65,22.8,376.95,30.67
77.64,-207.03,1082.52,10.03,46.08,-0.84,19.2,22.05,376.95,30.62
18.75,13.65,375.75,30.81
-63.96,-27.83,1000.0,1.7,2.02,0.05,19.8,16.95,376.35,30.71
-56.15,-9.77,1064.45,-1.38,4.21,0.95,19.8,18.0,376.35,30.86
-33.2,-35.64,1006.35,-3.41,2.96,1.18,19.2,17.85,376.2,30.86
-52.25,-36.13,1005.37,-1.85,2.0,-2.69,18.75,17.1,376.95,30.86
-45.9,-18.07,1043.95,0.12,-0.11,0.64,19.35,16.2,377.55,30.95
-53.71,-48.83,995.12,-1.82,3.17,-0.56,18.45,16.8,376.2,30.95
-46.39,-41.5,1038.57,-6.26,-3.43,4.59,17.1,16.35,375.45,31.14
Start
-166.02,-85.94,1036.13,16.02,3.21,8.21,22.05,16.35,376.65,30.95
-124.51,-106.45,973.63,5.21,9.35,-9.18,21.45,18.0,376.05,31.05
-77.64,-90.33,1012.21,-7.6,-7.03,-31.16,22.5,17.85,375.75,31.14
-67.87,-70.8,1005.37,-2.42,-2.17,-29.56,23.55,17.7,377.55,31.14
-187.01,-12.21,1048.34,4.4,-4.09,2.87,21.45,16.5,376.05,31.0
-29.79,-88.38,1019.53,0.88,-7.5,-60.0,22.5,17.55,376.95,31.14
40.04,-217.77,1034.18,-10.87,-1.69,-27.53,20.85,18.6,376.95,31.05
-57.62,26.37,977.05,26.64,18.02,-8.46,23.25,17.1,376.95,31.14
-94.73,-28.81,1120.12,15.88,-10.11,23.2,21.9,18.45,377.1,31.0
-138.67,-45.9,1035.16,3.83,0.8,33.43,22.05,18.6,377.4,31.14
-234.86,39.06,996.09,-2.08,5.63,44.11,20.4,19.05,375.75,31.0
-310.06,-22.95,941.89,-6.98,6.78,23.14,21.6,18.3,376.65,31.05
-220.21,-43.95,963.38,-9.64,8.8,18.27,20.4,18.3,378.15,30.95
-192.87,7.32,1062.99,-13.69,-3.08,23.6,22.5,16.35,375.45,30.71
-136.72,100.1,1172.36,11.74,-21.58,19.18,20.7,16.2,376.35,31.05
-102.05,-21.0,956.54,-4.35,23.8,11.6,20.7,15.75,377.55,30.67
-97.66,28.32,984.86,-12.22,12.06,1.4,23.1,15.75,377.1,30.67
-199.22,-28.81,929.2,-2.92,5.31,-11.89,22.65,15.0,376.8,30.67
-241.21,12.7,937.01,-5.86,-1.37,-12.4,23.7,17.1,376.65,31.05
-146.48,-70.31,946.78,-9.97,6.44,-19.22,20.25,16.5,376.05,31.05
-146.97,-11.72,1062.01,-0.59,15.34,-20.23,22.95,17.55,375.75,30.95
-138.67,56.15,1033.69,16.76,-2.73,-27.48,22.35,18.9,376.35,31.05
-50.78,71.78,992.19,-0.97,-3.35,-15.79,20.4,17.85,377.7,31.0
-94.73,111.82,1071.29,12.54,-6.07,-28.02,20.25,19.2,375.6,31.0
-119.14,166.5,1079.59,0.31,-3.11,-30.98,22.35,19.2,376.05,31.05
-149.41,89.84,967.77,-3.42,10.14,-41.7,21.6,17.85,375.75,31.0
-153.32,59.08,957.52,12.21,1.98,-21.11,22.65,19.65,376.8,30.86
-89.36,50.29,1032.23,6.98,-0.29,-5.44,22.5,21.3,376.95,31.14
-99.61,12.7,1020.51,6.83,-2.76,18.78,22.5,22.05,374.7,30.95
61.52,-30.27,1072.75,15.16,-6.66,25.85,23.7,21.3,375.45,31.05
Destination:,-0.5,0.7
Initialising
-65.43,-29.3,1029.3,-2.79,-1.11,1.89,20.4,16.35,376.65,31.0
-46.88,0.49,1024.9,1.11,3.49,2.0,19.05,16.95,376.05,30.86
-69.82,-18.55,1035.64,2.13,-1.49,2.44,20.25,15.75,377.1,30.86
-100.1,-4.88,970.21,4.92,4.21,5.43,19.65,13.65,377.4,30.86
-57.13,-2.93,1042.48,6.06,-0.4,-2.91,19.95,15.6,376.2,30.81
-54.2,5.86,1046.88,2.19,5.25,3.06,20.25,16.5,376.8,30.95
-90.33,-19.53,990.72,-0.16,5.0,1.74,19.8,15.0,376.8,31.05
-80.57,-9.28,1038.57,1.79,0.91,-4.37,21.0,16.2,377.1,30.67
-53.71,22.46,1041.5,-2.89,3.63,-1.31,20.85,16.35,376.95,30.86
-76.66,-10.74,1024.9,-1.6,3.54,-0.46,18.75,15.15,378.15,30.95
Start
-38.09,-41.5,1016.6,-3.88,-5.66,11.2,19.2,14.85,376.65,31.0
-52.25,-62.99,1013.67,-0.91,0.87,12.27,18.45,15.15,376.95,30.95
-69.34,-79.1,1013.18,2.74,8.29,11.04,17.7,14.7,376.8,31.0
-3.42,-116.21,1074.71,-2.07,3.17,2.88,19.2,14.85,376.65,31.14
-32.23,-117.68,1032.23,-13.61,-5.7,8.68,20.25,13.05,376.05,30.86
-51.27,-121.58,1078.13,-14.63,24.55,-22.11,19.95,12.15,375.75,31.0
-78.12,-237.3,899.41,-23.47,27.18,-43.69,18.6,12.75,376.8,30.86
-37.11,-104.98,978.03,-12.81,12.15,-49.58,20.85,12.9,378.15,31.0
-30.27,22.95,1133.79,-8.93,-27.03,-34.73,19.65,11.7,378.45,30.86
-94.24,-21.48,1062.5,10.3,5.75,-19.47,17.1,10.95,375.75,30.67
-50.29,6.84,1036.62,13.84,14.48,-4.18,18.15,12.75,376.35,30.86
-55.66,-55.66,958.5,11.09,13.11,3.05,18.75,12.6,376.65,30.62
-90.82,-76.17,1003.91,11.42,-5.18,10.09,18.45,14.1,376.95,30.71
-80.08,-20.51,1038.57,5.74,2.6,13.33,18.15,14.7,375.6,30.95
-71.29,19.53,1081.05,1.08,-13.7,10.31,17.7,13.8,374.85,30.86
-81.05,-82.03,971.68,4.92,14.34,7.94,18.45,13.35,375.45,30.71
-65.43,-21.97,1034.18,3.39,10.42,7.56,18.75,13.65,376.2,30.81
-25.39,-71.78,1024.9,-2.71,-4.99,5.49,19.95,15.9,377.7,31.0
-43.46,-13.18,1071.78,-10.47,3.67,5.42,19.05,13.5,376.8,31.05
-98.63,-117.68,936.52,-12.86,9.48,3.85,19.8,11.25,375.6,30.71
-64.94,-88.38,1024.9,5.17,3.55,11.82,20.4,10.95,377.4,31.05
-107.42,-85.45,998.05,5.37,9.08,6.91,20.25,12.75,376.05,30.71
-101.56,-62.5,1012.21,2.27,-2.5,3.66,19.35,13.05,377.1,30.95
-91.8,-83.98,1015.14,2.27,-2.61,1.53,19.8,11.55,377.55,30.86
-38.09,-118.16,1029.3,-7.37,-6.11,8.11,18.15,12.3,375.6,30.86
-84.47,-83.01,1027.83,2.02,3.76,4.44,18.45,12.15,375.75,31.05
-87.89,-75.2,1000.98,4.85,5.66,-0.27,19.8,12.3,375.6,31.14
-47.85,-79.59,1016.11,-11.71,-0.78,2.19,19.8,13.05,376.05,30.86
-82.52,-88.87,976.56,-1.36,-3.83,4.79,19.65,12.6,376.95,31.05
-54.69,-66.89,1051.27,2.27,-1.61,-2.28,19.05,12.75,376.35,30.95
Destination:,-0.5,0
Initialising
-11.72,72.27,1018.07,2.53,-0.85,-0.06,22.95,26.25,374.7,31.0
-9.28,67.38,1018.55,-3.47,7.37,3.73,23.1,27.3,375.3,30.81
-19.04,34.67,1035.16,0.09,0.37,7.69,23.7,26.7,375.45,31.14
-13.67,84.47,1026.37,6.04,-3.23,6.38,23.85,26.55,373.35,31.05
-11.72,83.01,1023.93,1.61,2.04,-1.34,21.45,28.35,375.6,30.95
-29.79,78.12,1043.46,0.64,7.62,0.26,22.35,28.05,374.85,30.95
-40.53,62.99,1007.81,-5.8,9.21,-2.65,22.05,27.0,376.95,30.86
-21.0,87.4,1006.84,0.92,0.0,-3.66,22.95,28.65,373.5,31.05
-20.02,79.59,1018.55,-2.03,-2.63,-3.15,23.7,27.45,374.7,31.05
-36.13,74.22,1027.34,0.87,0.63,1.69,22.95,26.25,375.45,31.14
Start
9.28,89.84,1028.81,0.24,9.47,4.63,19.95,26.7,375.0,31.05
18.07,75.68,1012.21,4.98,0.57,1.02,21.3,26.25,374.7,31.0
24.41,93.26,1018.55,-0.05,0.18,-1.85,21.6,27.75,374.7,31.05
42.97,102.54,1010.25,-1.83,2.34,-2.84,19.8,28.8,375.6,31.0
15.14,101.56,1025.39,-1.38,-0.56,0.99,22.05,26.25,373.95,31.05
15.63,72.27,1014.16,-2.82,-0.12,-3.5,21.3,27.45,373.5,30.95
18.07,79.59,1026.37,-3.31,6.01,0.32,21.3,28.2,374.25,30.95
20.51,85.45,1020.51,-3.64,1.65,1.58,20.85,26.7,375.45,31.19
25.39,95.7,1006.84,-1.79,1.42,0.26,22.35,28.35,376.35,30.95
12.21,103.03,1014.16,-2.29,0.18,-1.24,21.45,28.05,375.6,31.14
20.51,87.4,1009.28,-3.92,2.72,-3.17,21.45,28.35,374.4,30.95
15.14,85.45,1039.06,-3.12,-2.18,-4.4,22.35,28.05,374.85,30.95
23.93,104.0,1002.93,-4.0,0.62,-2.44,21.9,26.85,375.6,30.86
17.09,73.24,1038.57,-4.64,-0.73,-5.29,22.35,25.35,373.65,31.05
20.02,119.14,1007.81,-0.73,0.56,-5.04,21.9,27.3,375.3,31.05
20.02,84.47,1034.67,-3.34,2.29,-10.3,22.05,26.25,375.45,30.95
11.23,134.28,996.58,4.77,-1.82,-15.4,21.45,28.35,372.9,31.14
2.93,118.65,1020.51,-3.96,5.57,-20.08,20.4,28.65,375.0,31.14
13.18,134.77,1018.07,-1.28,5.64,-22.02,21.45,27.3,375.3,30.95
7.32,216.31,1041.02,-10.6,7.0,-20.29,22.65,26.85,376.05,31.0
115.72,217.29,1025.88,-20.47,-13.62,-27.19,25.35,28.95,375.45,31.0
15.14,80.57,991.21,15.46,3.15,-5.92,23.55,26.55,376.05,31.19
15.63,165.53,966.31,8.38,-5.75,-1.36,24.15,27.75,374.7,31.0
12.21,173.83,1078.61,8.66,13.44,19.18,22.95,28.95,374.25,31.24
60.55,216.8,1088.38,8.1,0.85,22.85,22.95,29.4,375.45,31.05
-62.5,37.6,1051.76,1.36,-3.61,8.33,22.95,29.7,375.45,31.05
-24.9,64.94,1055.66,-9.05,4.37,11.15,22.5,30.15,373.5,30.86
-26.86,119.63,971.19,-0.24,17.56,10.58,23.55,29.85,374.85,30.86
-31.25,3.91,1037.11,-0.13,-5.18,-0.17,22.5,29.4,373.95,31.14
-1.95,96.19,1020.51,3.11,2.11,5.03,22.05,30.15,375.0,31.0
Destination:,0.1,-1
Initialising
4.37,25.2,22.2,377.1,31.19
-30.27,-24.9,1044.92,-10.77,4.22,5.1,25.8,23.25,376.65,31.34
164.55,15.14,1024.41,-6.22,3.22,-4.34,32.4,25.5,375.0,30.86
-148.93,28.81,1008.3,0.71,-2.67,-0.48,32.4,26.25,375.75,31.05
-156.74,20.02,1012.21,1.89,3.9,1.5,30.3,25.5,375.0,30.95
-164.06,46.39,1025.39,5.07,2.54,-0.57,30.3,26.7,373.95,31.14
-146.0,14.65,998.54,-4.97,4.32,0.29,31.05,25.95,375.0,31.24
-162.6,25.88,992.19,-1.12,-2.15,6.15,31.65,25.65,375.6,31.14
-130.37,45.41,1022.46,-2.21,-13.72,6.6,31.05,25.95,374.7,31.0
-150.39,49.8,1028.81,-0.41,-4.9,-1.74,30.75,26.25,375.45,31.19
Start
-132.81,27.83,1027.83,1.96,-0.14,0.49,31.5,25.95,374.25,31.14
-126.95,0.0,1023.93,0.44,-0.24,4.57,31.05,26.25,374.7,31.05
-144.53,27.83,1013.18,-1.05,0.59,2.14,29.85,25.5,375.45,30.86
-135.74,12.7,1010.74,-1.86,-0.46,-2.44,30.3,25.2,375.45,31.05
-136.23,4.39,1011.72,1.33,-0.69,2.07,29.85,27.0,375.0,30.81
-150.88,29.79,1028.81,2.85,3.31,1.18,30.75,25.5,375.75,30.95
-123.05,8.79,987.3,-0.59,0.76,-2.22,30.9,25.65,374.85,30.81
-140.62,5.86,1000.49,-2.15,2.53,0.58,29.7,25.35,375.3,30.71
-151.37,31.74,1024.41,2.88,5.06,-2.98,30.0,26.55,376.8,30.71
-131.35,5.86,1002.44,2.29,2.44,-2.89,30.3,25.2,374.7,31.14
-143.07,0.98,1019.04,-0.52,2.55,1.98,31.65,25.65,375.3,31.14
-148.93,24.9,984.86,1.76,2.05,2.84,31.65,26.1,375.6,31.0
-145.02,24.9,1015.62,-0.6,-1.16,-1.4,29.4,25.5,375.75,31.05
-135.74,16.11,1002.93,-2.26,4.14,-1.94,32.1,26.85,374.85,31.05
-157.23,38.57,996.09,0.56,1.71,4.43,33.6,26.25,376.2,31.14
-136.23,26.86,1008.3,0.37,-1.11,-0.63,31.05,25.95,374.25,31.14
-129.88,7.81,992.68,-0.95,-0.45,-1.85,31.05,26.7,375.75,31.0
-145.51,29.79,1021.0,1.37,4.18,-2.09,31.5,24.45,373.5,31.05
-134.77,17.09,1033.2,-2.01,4.41,2.95,30.0,26.55,374.85,31.05
-146.48,16.6,1021.0,-4.09,4.6,4.23,30.45,25.65,375.6,31.19
-159.67,14.16,1005.86,1.48,4.0,1.98,30.75,26.7,376.2,31.0
-145.51,21.0,1001.95,-2.94,2.99,-1.19,30.75,25.5,375.75,31.14
-149.41,26.37,1027.83,0.63,0.44,0.76,29.4,25.95,374.25,31.05
-150.88,15.14,1009.77,-3.32,1.71,2.87,30.9,25.35,375.6,30.95
-165.04,3.91,999.51,-0.37,2.82,-1.58,31.35,24.9,375.6,31.05
-141.6,12.7,1031.25,-2.39,3.15,1.66,31.5,25.2,375.0,31.05
-169.43,5.86,1006.35,-0.24,2.11,0.33,30.75,25.95,375.45,31.14
-146.0,6.35,1021.97,0.96,-6.76,0.38,31.35,25.65,376.05,31.05
-125.0,-12.21,1008.3,-3.49,3.6,-3.3,28.2,24.75,376.95,30.95
-148.44,7.81,988.28,-0.04,1.45,-0.47,31.5,26.7,375.0,30.86
Destination:,0,0
Initialising
-14.65,-11.72,1032.71,9.41,0.76,10.15,20.7,22.65,375.3,31.24
-13.18,-34.67,1043.95,-1.37,4.36,1.28,22.05,23.25,375.75,30.95
3.91,-19.53,1035.16,-5.34,5.11,-1.24,21.6,23.25,374.7,30.95
-1.46,-52.25,1009.77,-4.58,0.05,-0.98,22.05,21.75,376.2,30.95
-4.39,-34.18,1011.23,-2.77,-1.6,-0.24,19.95,22.05,375.75,31.05
-7.32,-52.25,1034.67,-7.89,6.27,-2.09,20.4,21.75,376.65,30.95
-12.21,-79.1,996.09,-3.39,4.82,0.84,20.7,21.15,375.3,31.14
-3.42,-47.85,1025.39,0.1,3.66,-2.71,20.7,21.45,376.35,30.86
-23.44,-41.99,1025.39,-2.48,9.73,-6.21,22.35,21.15,377.1,31.14
-10.74,-27.34,1021.97,-2.81,-1.21,-3.13,23.1,21.45,375.3,31.05
Start
-15.14,-48.83,1132.32,23.21,11.38,8.06,19.2,26.7,374.25,31.0
-42.48,-57.13,977.05,-48.51,9.41,-35.16,19.95,25.2,374.25,30.81
-101.07,-154.3,949.71,19.57,-5.29,-30.86,21.6,25.5,373.5,30.86
-24.9,-21.0,1026.86,30.2,1.44,-42.89,20.85,27.45,373.05,30.86
45.41,-56.15,1170.9,-14.9,21.06,-34.16,21.3,29.4,372.3,30.86
24.41,-10.25,1168.95,-27.32,21.36,-54.67,23.25,27.0,374.25,30.71
-180.18,-12.21,1085.94,-8.38,-15.29,-93.95,29.25,24.15,374.85,30.86
-13.67,-39.06,999.51,15.4,-24.43,-47.89,28.65,25.5,374.25,31.0
-58.59,-33.69,938.96,-4.44,14.17,-26.26,29.1,27.0,373.5,31.05
-165.53,46.39,962.4,6.05,-4.54,0.63,31.5,25.2,374.25,30.95
-140.14,-162.6,912.6,-62.44,11.27,-33.01,31.95,25.5,374.7,31.14
-34.18,-15.14,1125.0,-25.1,-10.78,-25.68,30.75,22.5,375.45,30.86
-108.89,-6.35,1154.79,16.63,2.41,-9.53,30.75,19.8,375.0,30.95
-81.54,34.67,961.91,1.0,23.76,-8.53,31.95,21.3,374.25,30.95
-203.61,14.65,917.48,6.74,-0.98,36.25,33.0,22.2,373.65,30.95
-177.73,-104.98,900.88,-30.97,6.87,-6.58,33.15,20.55,375.45,31.05
-148.93,-114.75,1101.56,-33.5,-14.41,2.75,31.05,19.8,374.25,30.95
-254.39,129.88,1212.89,-29.8,13.53,33.22,30.9,21.15,373.65,31.14
-246.09,337.4,1189.94,-49.14,16.38,-12.98,33.75,19.65,373.65,31.19
-241.7,237.79,1116.21,-40.07,-9.12,-10.31,31.65,12.3,373.35,30.95
-248.54,7.81,982.42,65.85,-8.0,42.56,33.9,14.85,372.75,30.86
-238.77,13.67,840.33,39.42,-13.13,46.89,31.35,18.0,374.1,31.0
-263.67,-29.3,1066.89,2.66,40.15,31.15,32.7,20.55,373.95,30.86
-170.9,-168.46,899.41,-34.95,14.12,18.21,32.55,19.65,374.85,30.86
-167.48,-239.75,1085.45,93.63,-10.27,-3.33,33.0,21.9,372.6,30.86
-128.91,-26.37,1014.16,26.34,-15.65,-12.63,32.55,28.35,372.6,30.67
-94.73,229.0,992.68,-26.3,9.97,-30.56,32.7,28.95,370.35,30.95
-312.99,39.06,953.12,-30.58,13.74,-70.38,35.25,25.5,372.75,31.05
-267.09,-21.0,1047.85,51.26,-13.72,-91.77,35.25,24.0,372.3,30.86
-138.18,282.23,1041.5,29.18,8.66,-55.05,36.9,25.95,372.75,30.95
Destination:,0,0.8
Initialising
-56.64,-50.29,1022.95,-4.81,7.05,0.7,35.4,10.8,375.3,30.86
-27.83,-90.82,1002.93,0.4,2.18,-4.15,35.4,10.5,375.6,30.95
-44.43,-79.59,1021.48,0.63,1.14,-0.73,34.95,12.0,374.1,30.95
-27.34,-97.17,1021.48,3.83,2.12,-0.89,34.2,11.25,376.35,30.86
-22.95,-65.43,1017.58,-2.63,2.69,0.83,34.35,11.4,376.65,30.86
-29.79,-91.8,1027.83,0.23,1.89,1.24,34.95,11.25,376.05,30.86
-30.27,-82.52,1029.79,2.44,2.21,1.0,34.8,11.4,375.75,31.05
-33.69,-80.57,1006.35,-3.21,1.56,-0.89,35.55,12.6,375.0,31.05
-40.04,-95.21,1024.9,-2.1,-1.69,-0.24,34.65,10.5,376.35,31.05
-31.25,-60.55,1019.53,-3.46,1.76,-3.01,33.15,13.35,375.45,31.0
Start
-104.98,-268.07,1016.11,-17.43,-3.24,-26.02,35.25,10.65,375.75,30.81
-86.91,-242.68,996.09,11.45,-8.44,-26.17,33.3,9.6,375.3,31.14
-97.66,-216.8,1025.39,12.31,-1.51,-49.08,33.6,10.2,375.75,31.05
-114.75,-138.67,1045.41,-5.44,5.27,-49.78,33.0,10.05,375.6,31.05
-108.4,-127.44,1055.18,-10.08,8.51,-38.36,30.0,8.55,376.05,31.05
-83.5,-140.62,1016.6,-5.28,20.14,-49.13,31.5,6.75,375.0,31.05
-40.04,-8.79,1032.23,-49.19,16.39,-45.95,31.35,6.6,376.05,31.14
-129.88,-149.9,1010.74,-6.56,9.65,-69.88,29.7,3.9,374.85,31.05
-100.1,-203.12,919.92,-14.62,14.05,-104.51,29.7,3.15,373.65,30.95
-158.2,-263.67,980.96,20.6,34.2,-109.31,27.75,1.05,374.7,31.05
-171.39,-79.59,1066.41,17.39,10.88,-137.34,24.6,1.8,375.45,31.05
-166.5,-127.93,1188.48,-34.47,21.89,-150.21,24.6,1.5,375.0,30.86
-118.65,11.23,1092.77,5.09,16.47,-95.37,21.3,1.8,373.05,30.62
-95.21,-132.81,962.89,23.4,15.83,-41.05,19.65,2.55,375.45,30.71
-142.09,-272.95,915.53,16.13,-6.67,-51.39,19.95,1.8,374.25,30.67
-95.21,-180.18,932.62,-22.2,7.36,-56.5,17.4,4.35,376.8,30.95
-80.08,-253.42,994.14,-22.01,18.32,-42.14,18.0,3.75,374.7,30.95
-125.98,-142.58,1100.1,13.73,21.82,-40.92,16.95,4.35,375.6,31.05
-120.12,-148.44,1046.39,3.34,21.19,-48.34,19.2,2.55,374.25,30.86
-154.3,-91.31,984.37,8.4,7.38,-46.65,18.15,4.5,375.75,30.86
-129.88,-191.89,970.7,-4.34,15.64,-61.85,18.0,6.0,375.75,30.95
-113.28,-253.91,926.27,-14.17,10.27,-76.98,16.5,6.6,374.85,31.05
-193.85,-122.07,1129.39,0.05,13.47,-81.24,16.35,8.7,375.75,30.67
-171.87,-330.57,1034.67,-39.65,4.34,-98.37,18.0,5.7,376.65,30.95
-33.69,-136.72,939.45,41.63,-1.94,-69.88,14.55,9.6,375.6,31.05
-40.53,19.04,1044.92,17.73,22.08,-63.36,15.45,11.7,375.0,31.05
55.18,18.55,961.91,-0.44,6.02,-33.6,15.75,12.3,375.6,30.95
0.0,-70.8,923.83,19.4,5.32,-15.58,15.45,14.4,377.4,31.0
-75.2,-56.15,1085.94,15.18,21.31,-4.4,16.2,15.45,376.35,30.95
-27.83,-97.17,1114.75,-5.38,-7.2,-0.12,15.3,15.0,376.35,30.86
Destination:,-1,-1.2
Initialising
374.1,30.95
2.93,-174.32,1015.14,-3.02,-7.16,-18.15,28.05,7.8,374.4,30.71
62.01,-121.09,1000006.35,-47.36,1040.04,27.35,5.49,-2.22,28.65,7.5,373.05,31.14
16.6,0.98,1047.36,-10.36,-7.18,4.52,28.5,10.05,372.15,31.14
21.97,-54.69,1042.48,-7.59,4.98,4.37,27.75,9.45,372.75,31.19
-10.74,-3.42,1015.14,-1.96,8.18,5.8,29.1,7.5,373.5,31.24
-5.37,-19.04,1015.62,-12.84,4.25,6.11,28.8,9.6,374.1,31.14
0.98,-50.78,1042.97,1.98,1.02,1.21,27.6,7.8,374.4,31.05
-7.81,-40.53,1021.97,-15.5,1.38,10.75,30.3,7.2,372.3,31.05
-3.91,-50.78,992.68,8.23,2.8,-2.67,30.0,7.8,372.9,31.14
Start
-41.99,-129.39,1032.23,-12.6,4.28,-3.99,27.75,6.0,371.25,30.86
-51.76,-83.5,996.09,13.85,3.31,7.56,28.65,5.7,373.05,31.05
-33.2,-85.94,1003.42,37.11,10.27,-5.37,27.15,7.35,372.15,31.14
67.38,-133.79,1059.08,10.82,-19.72,-18.54,27.15,8.85,373.65,31.05
-41.99,34.67,1011.72,71.44,-1.06,7.02,28.2,12.9,373.5,31.05
12.7,308.59,973.14,117.76,2.86,8.38,27.0,17.85,375.75,31.38
2.93,444.34,979.0,111.85,2.77,16.54,26.55,26.7,373.5,31.05
0.98,636.23,799.8,136.63,6.65,7.03,26.4,34.95,370.65,31.14
0.0,834.96,695.31,143.92,25.37,-3.27,29.7,42.15,365.55,31.24
-62.01,844.73,377.93,204.37,9.3,-45.04,29.7,49.35,356.25,31.38
84.96,1124.51,192.87,155.9,-10.32,-69.3,33.75,55.5,342.75,31.24
-130.37,1087.4,-134.28,138.56,46.92,-22.66,36.6,56.25,332.25,31.34
-118.65,933.59,-392.58,148.45,64.95,-37.34,39.75,54.6,324.0,31.05
-291.5,706.05,-646.0,181.15,48.05,-52.76,40.05,48.45,312.0,31.38
-277.34,526.86,-776.86,164.02,2.74,-100.52,44.4,40.95,302.85,31.24
-385.74,273.93,-896.97,117.43,1.89,-69.7,47.25,31.05,297.45,31.14
-445.8,104.98,-1068.36,110.15,1.6,-85.83,47.7,22.65,295.5,31.34
-287.6,-28.32,-1048.34,53.73,10.86,-48.34,47.7,13.5,294.0,31.38
-293.46,-350.1,-943.36,93.78,-14.82,-70.23,47.85,8.7,296.55,31.14
-198.73,-502.44,-818.85,168.6,34.31,-84.4,43.95,-2.85,301.05,31.24
-146.97,-678.22,-780.27,149.06,-21.56,-35.81,40.35,-12.75,306.0,31.19
4.39,-802.25,-339.84,182.02,-13.78,-88.84,38.1,-19.35,315.15,31.38
-78.12,-951.66,-185.55,71.05,-6.71,0.08,36.9,-23.25,321.75,31.38
-88.38,-1011.23,-9.77,119.0,-23.6,-0.64,36.0,-22.8,332.55,31.0
-0.49,-1005.37,314.94,75.73,22.48,6.42,33.9,-22.5,340.65,31.24
-54.69,-880.37,252.44,136.06,-56.57,-32.53,32.7,-19.8,348.0,31.05
47.36,-890.14,427.73,30.22,-7.6,11.42,32.1,-17.25,353.25,31.14
28.32,-856.93,499.51,3.1,-1.96,9.89,31.65,-16.95,356.25,31.0
16.11,-633.79,634.28,43.18,-7.09,-5.29,32.1,-14.7,359.4,31.19
-0.49,-781.74,613.28,9.59,10.89,-5.1,30.0,-13.5,360.15,31.34
Destination:,-1.3,-0.7
Initialising
3.91,-34.18,1045.41,-0.79,1.36,-3.47,33.3,16.2,372.15,31.05
-7.81,-45.41,992.19,0.53,1.48,3.71,33.9,17.1,373.95,31.14
-23.44,-6.84,1030.76,-2.17,-1.89,6.21,33.9,17.1,373.05,31.14
-28.32,4.88,1033.69,0.33,0.77,4.3,36.0,17.1,372.75,31.14
-17.58,-31.74,1014.65,-1.69,2.6,0.37,35.55,17.85,372.3,31.14
-17.09,-7.81,1031.25,-0.02,5.96,1.7,34.35,19.05,373.5,31.05
-20.51,-10.25,1030.27,4.31,12.15,3.02,34.8,20.1,372.0,30.86
-45.41,-5.37,1006.84,4.24,5.27,1.16,36.15,17.7,372.6,31.19
-83.5,-1.46,1006.35,-0.42,4.01,0.5,35.25,18.3,373.95,31.19
-34.18,-16.11,1024.9,-4.36,-2.57,-2.11,34.65,18.0,372.9,31.34
Start
-11.72,-31.25,1026.86,-2.9,-0.36,0.56,34.35,15.9,373.5,30.81
27.34,-37.6,1032.71,-2.26,-3.6,2.26,33.15,16.8,372.75,31.24
5.37,-27.83,1029.79,-2.93,1.28,5.05,33.9,17.55,373.05,30.95
-3.42,-40.53,1015.62,-0.6,3.73,-2.47,33.6,16.8,372.3,31.19
-0.49,-62.5,1049.8,-0.56,2.72,0.32,33.9,16.8,372.75,31.05
17.09,-47.36,1036.62,-3.08,7.05,-1.85,34.2,17.7,372.9,31.14
19.04,-41.02,974.12,7.23,1.98,-2.48,33.15,17.1,372.75,31.14
2.93,-35.64,1047.36,3.11,1.85,0.39,33.9,17.85,373.95,31.05
2.93,-30.27,1032.71,-2.9,2.73,-0.21,33.75,18.45,372.6,31.05
-4.88,-37.6,1013.18,1.66,2.31,4.02,34.2,19.2,372.15,31.0
0.98,-12.7,1040.04,-0.28,0.05,1.0,34.2,16.95,372.6,31.19
8.3,-23.44,1034.18,-1.27,2.31,-2.09,34.65,18.0,372.9,31.14
3.42,-45.9,1013.18,-1.31,0.18,1.19,34.65,18.0,372.6,31.14
25.39,-37.6,1029.79,-0.94,2.54,-1.28,33.15,17.1,373.05,31.24
-8.79,-27.83,1012.21,1.47,3.85,-0.28,32.1,16.2,371.7,31.05
-6.35,-32.23,1028.32,-1.92,2.48,-1.47,34.65,16.95,373.65,31.05
16.11,-27.83,1038.57,0.15,0.99,-1.44,33.3,17.25,372.15,31.14
4.39,-21.97,1027.83,-3.08,0.0,-0.25,33.6,19.05,372.0,31.05
-6.84,-27.34,1029.79,-2.14,3.96,0.32,32.55,16.95,373.65,31.0
-13.67,-30.76,1017.09,0.32,0.74,1.27,33.75,16.5,372.6,30.95
-3.42,-40.04,1038.57,-1.62,1.76,-0.47,32.55,17.7,373.65,31.14
9.77,-37.6,1016.11,0.17,3.98,2.04,33.75,18.0,374.85,30.86
16.6,-38.09,1020.02,-1.52,0.9,0.55,32.7,17.1,373.05,30.86
33.2,-41.5,1038.57,-1.37,2.1,1.32,34.35,17.55,373.05,31.05
0.98,-37.6,1029.3,-1.08,3.73,4.4,33.0,18.0,372.15,31.19
-4.88,-32.71,1002.44,0.76,3.23,-0.31,33.15,17.85,372.3,31.14
11.72,-24.9,1045.41,3.05,2.36,-0.02,33.0,16.5,372.6,31.14
